Tweet,Nilai,,Percaya,,Tidak Percaya
Satgas COVID-19 soal Vaksin Nusantara: Kewenangan Ada di BPOM https://t.co/A7APRRf0P9,,,,,
"4) Data tidak transparan. Hingga kini ilmuwan independen seperti saya tidak bisa mengakses data hasil uji klinis fase 1. Padahal dalam pengembangan vaksin covid lainnya, semua melaporkan dan mempublikasikannya secara luas sehingga bisa dianalisa oleh ilmuwan lainnya.",Tidak Percaya,,,,
"Ikhtiar itu wajib right? Jadi tetap harus ikhtiar dulu baru berserah *cmiiw.

Membentuk kekebalan kelompok dg ikut vaksin yg sudah diupayakan pak Jokowi merupakan bentuk ikhtiar kita sbg umat Islam dalam melindungi sesama. 
Yg muda melindungi yg tua, yg kuat melindungi yg lemah https://t.co/VDTKcjU0SZ",,,,,
@KompasTV Kenapa BPOM tidak henti hentinya ingin membunuh hasil karya anak bangsa sendiri yang membuat indonesia mandiri dalam produksi vaksin dan menjadi negara elit yg bisa produksi vaksin sendiri.,,,,,
"@ChickGooPAUD_07 Kalo habis vaksin ke 2, 1 bulan harus cek serelogy karena belum tentu terbentuk immune. Banyak yang berpikir uda selesai di vaksin bebas pasti aman, padahal belum tentu.",,,,,
@adi_rolan @detikcom https://t.co/R1EgCYyWE3,,,,,
"@kompascom Woy, plis.. tolong jangan politisasi vaksin. Jgn bikin ketakutan baru di masyarakt.",,,,,
"3) respon imun vaksin dendrit cenderung menimbulkan imunitas seluler bukan imunitas humoral (pembentukan antibodi). Dalam tahap uji klinis fase 1 yang lalu, tidak jelas berapa persentase relawan yang memunculkan antibodi padahal antibodi penting untuk menyergap virus",,,,,
@CNNIndonesia Makanya namanya vaksin n-USA-ntara,,,,,
"@githasiwi aku lagi nunggu jadwal vaksin dari kantor suami, kalopun harus divaksin pas puasa ya ga pa2, nggak batalin puasa ini, kan",,,,,
"@JLukup Aku tidak mengerti penjelasan BPOM mengenai penilaian thdp vaksin nusantara yg dilakukan dari mana, yg jelas pembuat vaksin nusantara juga dari kedokteran dan para ahli dibidangnya dg ilmu yg sama, skr tinggal nunggu mana yg berhsil, kalau aku ya prcaya sama dr. Terawan &amp; teamnya",Percaya,,,,
"Setiap pusat hanya akan membekalkan dan memberi satu jenis vaksin - sama ada Moderna atau Pfizer-BioNTech.

#ICYMI #AWANInews #AWANIpagi #MyVaksinCOVID19

https://t.co/WBZ2UDPu8V",,,,,
@VD_126 @BBCIndonesia Saya seneng bgt ada orang ngatain say bego...kemungkinan orang ini pasti lebih pinter daripada saya..ayo tolong buktikan bhw BPOM mendapatkan keuntungan lebih besar drpd mereka approving vaksin import 🙇‍♂️🙏🙇‍♂️🙏,,,,,
"Kemenristek bubar = vaksin Nusantara hilang,,, https://t.co/Ir3Xb4CpmL",,,,,
"BPOM: Semua Komponen Utama Vaksin Nusantara Impor, Jika Dibuat di Indonesia Butuh Waktu Lama https://t.co/lyKfXAcN8o",,,,,
"Vaksin Nusantara , vaksin individual, perlu Kajian lanjut 🙏
#VAKSINNUSANTARA https://t.co/rHcaYMvhBU",Tidak Percaya,,,,
"2) penggunaan sel dendrit yang dikultur di laboratorium membutuhkan fasilitas mahal. Menurut BPOM fasilitas di RS kariadi belum memenuhi standar GMP good manufacturing practise yang mutlak diperlukan dalam pembuatan vaksin yang personal, karena ancaman adanya kontaminasi kuman",,,,,
"Pemerintah harus memberi kesempatan dan mendukung bagi penggunaan serta pengembangan Vaksin Nusantara. Wabah Covid19 sudah menjadi pandemi, maka penanganannya pun harus bersifat pandemi.",,,,,
140 Lansia Kendal Dapat Vaksin Saat Ramadan https://t.co/msIO2l2MTE https://t.co/WGojIu0k7L,,,,,
"08.55 #BeritaSONORA - Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/OylNK36vOO via @KompasTV",Percaya,,,,
"@RyuDeka Vaksin ga bikin kita kebal 100%, biar efektif memang harus satu lingkungan kita sudah ke vaksin semua biar terjadi herd immunity, abis vaksin tetep jaga jarak dan pakai masker wajib dikampanyekan, jangan mentang mentang divaksin lupa semua itu disiplinnya haha",,,,,
"Sekumpulan pakar perubatan di Amerika Syarikat mengesorkan untuk menyekat penggunaan vaksin Johnson and Johnson.  Foto : AFP

https://t.co/1FprZmAQa3
#onenews #Covid19 #JohnsonandJohnson https://t.co/oy5uMDnUDh",,,,,
"@na_dirs Wlu cuma nama, peneliti USA, dana ga tahu darimana.. dll.
Tp klu vaksin sekali selamanya ya harus dihentikan! 

Jgnkn produsen jenis lain, kartel obat, broker.. bhkn BPOM pun bisa nganggur! 
LAgian Modal jd kartel kan gede.. 😂😂😂😂",,,,,
"Mufti Besar Arab Sasudi Sheikh Abdul Aziz al-Asheikh menegaskan, vaksin aman Covid-19 ngga membatalkan puasa. 

Sebab diberikan lewat injeksi, sehingga tidak dianggap sebagai makanan dan minuman.",Percaya,,,,
@VD_126 @BBCIndonesia Yeee bego bahasa2nya kayak orang FPI ngatain orang...enteng bgt menghina manusia lain..tapi okay..please buktikan..spill me..kalo vaksin nusantara memang memberikan keuntungan ke BPOM..tunjukkan data ny..dengan segala hormat🙇‍♂️,,,,,
"Presiden Jokowi sudah menghimbau semua untuk ikut vaksin, sudah mengupayakan vaksin gratis untuk perlindungan bagi rakyatnya.

Sekarang, bagaimana upaya kita bersama dalam membentuk kekebalan kelompok dan melindungi satu sama lain https://t.co/6j87bDaSrw",,,,,
"@BudiGSadikin pak, untuk nakes penyintas kapan akan dijadwalkan vaksin lgi?",,,,,
"#MGTNews Presiden Joko Widodo optimis pemerintah bisa menyuntik vaksin virus corona (Covid-19) kepada 70 juta penduduk hingga Juli mendatang. Dia mengatakan target itu perlu diwujudkan, sehingga Indonesia bisa menurunkan laju penyebaran Covid-19 secepatnya. #GengPagiMGT #MGTRADIO https://t.co/3rc4xqxdA5",,,,,
"2) Ketika memberikan kesempatan untuk Sinovac (asing) untuk uji klinis di indonesia, mengapa vaksin nusantara justru ditentang. Apakah penentangan ini karena latar belakang Dr Terawan yang bermasalah dengan IDI di masa lalu

Tanggapan saya dibawah ini",,,,,
"Just sharing...

🙏😁💪

#PapaEko

Vaksin - Kita Bangkit - https://t.co/CwFs9jOJ4p",,,,,
BPOM Ungkap Relawan Vaksin Nusantara Alami Nyeri hingga Demam https://t.co/mxFIEbS6DH,,,,,
"@teeadnu aku lagi nunggu jadwal vaksin nih, kmrn udah didaftarin di kantor suami",,,,,
Kalau dah ambik vaksin still kena kuarantin/isolasi ke eah,,,,,
"Terkait berita vaksin Nusantara yg ramai di media itu mana yg benar:
1. Disuntik vaksin
2. Dilakukan uji klinis
3. Ambil sampel Sarah utk diuji dg metode sel dendritik
*NanyaSerius",,,,,
"@pengarang_sajak Gak Apa , Vaksin Rusia Saja Tidak Di Akui Eropa Dengan Berbagai Alasan",Tidak Percaya,,,,
Tetapi dalam perjalanan untuk mendapatkan uji klinis fase II tak berjalan mulus. Bahkan vaksin ini tak mendapat restu Badan Pengawas Obat dan Makanan (BPOM).,,,,,
Vaksin Covid-19 yang digagas oleh mantan Menteri Kesehatan Terawan Agus Putranto itu merupakan vaksin berbasis sel dendritik. Keampuhan vaksin disebut bisa disesuaikan dengan masing-masing individu penerima dengan melibatkan sel darah penerima vaksin.,,,,,
"Vaksin Nusantara yang diklaim buatan dalam negeri kembali menjadi sorotan, usai disuntikkan kepada relawan yang merupakan politikus senior Partai Golkar, Aburizal Bakrie.

https://t.co/S5UM8c1KPG",,,,,
"@Elina_Vay Nah ituu...berangkat sehat, nyampe sana kena. Habis vaksin kedua baru aq mau jalan, itupun dlm negri ajalah. Ada apa2 msh ada BPJS 😂",,,,,
"emang bener yang dikata bokap, jangan vaksin. https://t.co/A4rwqLPpmy",Tidak Percaya,,,,
"Vaksin Sinovac DITOLAK Lembaga Kesehatan Dunia WHO Dan Negara Arab Saudi, Bagaimana Nasib Jamaah Haji Indonesia ? https://t.co/we92cjikzi https://t.co/spJHCsmzwn",,,,,
"Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/5PNURISTA4 https://t.co/WWojdrCCN6",Percaya,,,,
"Vaksin melatih tubuh untuk kenal, lawan dan kebal penyebab penyakit, seperti virus dan bakteri. Unduh buku #InfoVaksin di https://t.co/sfpTXOQ91e. https://t.co/u6Ti40ufZG",,,,,
Peneliti Nilai Penyuntikan Vaksin Nusantara kepada Anggota DPR Berpotensi Bingungkan Publik https://t.co/0v4gH3U0QJ,,,,,
Jadi  Vaksin Aman dilakukan siang hari karena nggak membatalkan puasa. https://t.co/fxeOv2aAAh,Percaya,,,,
"Utusan Malaysia, 15 April- Hakikat kekecohan vaksin Covid-19.

Oleh Prof. Emeritus Tan Sri Dato' Dzulkifli Abdul Razak.

#IIUM2021 #LeadingTheWay #2lead4peace https://t.co/6eIAG0yXUV",,,,,
@CNNIndonesia Heran begitu  nafsu nya dgn  vaksin  Nusantara  ini.. its Okay  bila proses nya sesuai dng aturan 2 yg ada / dunia.. Apakah kita ingin menjadi ngr yg sak karepe dewe..,,,,,
"Gimana gaes? Jangan bimbang dan ragu lagi jika kalian mendapat giliran vaksin di bulan ramadhan ini ya? InsyaAllah aman dan tdk membatalkan puasa kalian kok. 
Ok gaes, sehat-sehat yaa kalian semuaa",Percaya,,,,
Bismillah vaksin.. https://t.co/IX35zF8Hon,,,,,
Wali Kota Sukabumi menyebut nilai 3 besar terbaik memotivasi percepatan vaksin https://t.co/aq87gTAXgZ,,,,,
"Masih bingung dengan urgensi vaksin Nusantara yang belum lolos uji klinis fase 1 oleh BPOM tapi tetap dilanjutkan ke fase 2.

Hidup orang kok kayak ga ada harganya
Otak gw belum nyampe dengan pola pikir politikus",Tidak Percaya,,,,
https://t.co/S6W4NG9014,,,,,
"Populer Sains: Bibit siklon tropis 94W yang berkembang jadi siklon tropis Surigae, polemik vaksin Nusantara, kebiasaan minum kopi saat sahur. https://t.co/IJeYr46lzV",,,,,
https://t.co/RYg2qXh0mo,,,,,
"Tapi, jika tidak yakin dengan kondisi tubuh, misalnya tubuh tidak dalam kondisi fit, sebaiknya tidak dipaksakan. 
Atau mungkin bisa juga ganti jadwal vaksin ke malam? Cmiiw https://t.co/HVu4GCA9jx",,,,,
"Sama seperti Indonesia, Arab Saudi juga sedang serius menggarap vaksinasi Covid-19 lho!

Biar pandemi lekas minggat.

Kementerian Kesehatan Arab Saudi bilang, lebih dari 2,6 juta dosis vaksin aman virus corona telah diberikan penduduk.",,,,,
"Lagi di puskesmas terus ada oma2 kekinian nanya ke petugas:

""Gak ada foto belakang saya sudah vaksin ya pak? """,,,,,
"#VaksinDorongPemulihanRI 
https://t.co/yTatNQVHQQ",,,,,
"#VaksinDorongPemulihanRI 
https://t.co/9avT69J9yN",,,,,
"#VaksinDorongPemulihanRI 
https://t.co/VBSAZJyXm3",,,,,
"@SMBS_rio @yunartowijaya Penasaran sama logikanya. Jika nganggap vaksin A adalah bisnis, bukannya vaksin B jg bisnis. Apa semua diproduksi lagi diberikan cuma-cuma ke negara. Gratis tis this?? 

Itu kalau logika konsisten ya. Kalau pilih-pilih ya susah.",,,,,
"#kegiatanknbangliapril21

Rabu (7/4/2021) Ikatan Adhyaksa Dharmakarini (IAD) Daerah Bangli Mengikuti Webinar Sosialisasi Vaksin Covid-19 Secara Virtual di lingkungan Keluarga Besar IAD Pusat dan diikuti Keluarga Besar Ikatan Adhyaksa Dharmakarini se-Indonnesia. https://t.co/LTwDraewj2",,,,,
gimana ya pa bujuk nene aku biar mau vaksin :( @ridwankamil dia gamau di vaksin gegara ditakut takutin abis di vaksin malah positif :( padahal aku jelasin gapapa jangan dengerin orang :( https://t.co/fnjrqbkGJI,,,,,
"Masih ragu? Coba baca nih hal yang mendasari MUI mengeluarkan fatwa bahwa vaksin, tes swab serta rapid tes itu tdk membatalkan puasa https://t.co/yQZgE9BVHm",,,,,
"Seorang dokter yang memberi sumbangsih keilmuan untuk dunia kesehatan di Indonesia. Berkat jasanya, obat-obatan tercipta dan dan penelitian vaksin terus berkembang hingga sekarang. https://t.co/nDdTdxDXzY",,,,,
dah tu duk nak buat stail p tolong bagi  vaksin dekat negara lain dah pasaipa lah jibaukkkkkkkkkkk https://t.co/6TEOE4VXRD,,,,,
"@actempramu Dok, vaksin hepatitis b buat dewasa ada batasan usia ga ya? Syarat nya apa ya? Pls advise me. Thanks",,,,,
lg antri vaksin tp ni org didepan blg 'agak sakit ya'😭😭,,,,,
"vaksin nusantara itu basically esemka. avanza/xenia/agya/ayla bisa achieve tkdn 94% meskipun badge merek jepang, esemka yang ""nasional"" cuma 60%.

same goes with ""chinese"" sinovac yang part of the process udah di biofarma bandung vs ""nusantara"" but imported from us",,,,,
"Vaksin NUSANTARA ... Karya Anak Bangsa 

Hiyaaaa ... Pada PANIK ... 
RAKYAT dijadikan Kelinci percobaan. https://t.co/xPulstdlG2",Tidak Percaya,,,,
"😱😱😱 

71% Relawan Vaksin Nusantara Alami Kejadian Tak Diinginkan, 6 Orang Gejala Berat | https://t.co/fj1SPa7Gjf",Tidak Percaya,,,,
"Buat teman-teman yang akan ikut vaksin, agar aman selama Ramadan, dianjurkan untuk :
1. Istirahat yang cukup
2. Sahur dg makanan bergizi",,,,,
"letih jugak baca news nowadays. awal haritu kata vaksin cukup untuk semua orang. sekarang tiba2 tak cukup sebab negara lain monopoli. 

tiap hari menteri ada achievement untuk buat satu statement pelik2 ke macam mana?",,,,,
"Sama hal nya seperti vaksin, kalian yang akan melakukan tes swab atau rapid juga nggak perlu khawatir karena swab dan rapid tes nggak membatalkan puasa kalian kok gaes. Tenang aja https://t.co/pfSUsyGpy0",,,,,
@azray_han I think vaksin mmg tak de banyak lagi. Sbb senyap2 dia dah bagi kat kawan2 dia. Tu yg buat mcm2 polisi nak susahkan kita dapt vaksin.,,,,,
"@BudiGSadikin 3 orang tua kami sudah vaksin pak. Posisi Jakarta sdh 2 x, yg di Tasik nanti tgl 22 April jadwal vaksin kedua. Semoga mereka sehat selalu. Pendamping lansia kapan ya pak bisa divaksin?",,,,,
"@bebeeen__ Setelah melakukan vaksinnasi kami jadi tidak merasakan lapar lagi karna
Vaksin-nasi : menyuntikkan nasi ke tubuh kita",,,,,
Wkwk di vaksin doanf degdegan,,,,,
"@fitrian Beerapa hari yang lalu dapat info dari orang Bio Farma ttg webinar tentang vaksin dlm bln Ramadan tapi tak bisa hadir. Aman ya, alhamdulillah.",,,,,
"@TulipKuning5 @CNNIndonesia Bakal diterima kok, apalagi vaksin Nusantara ini buatan Amerika. Diimpor dari sana dan di sini ganti merk. Apa tujuannya ya? Katanya mahakarya Terawan? https://t.co/Y7V4QAi1Uy",,,,,
"Cinta produk dalam negeri makanya dukung Vaksin Nusantara dong.

Eh tapi gini lho:

Semua komponen utama pembuatan vaksin ini diimpor dari USA (antigen, GMCSF, medium pembuatan sel, dll). Peneliti utamanya jg dari USA. 

Vaksin nUSAntara dong? 😄

https://t.co/HBVzAtWWSX",,,,,
"Vaksin dengan suntikan, tidak melalui rongga mulut dan tidak masuk ke rongga perut, sehingga tidak bersifat memuaskan keinginan *cmiiw

So yuk tetap ikut vaksin, aman selama Ramadan. https://t.co/gQMgULhWOb",,,,,
"@EkoBasu89400740 @yunartowijaya itu bahan vaksin nusantara dari Amerika..
ga ada di sini..",,,,,
@LuqmanBeeNKRI @CakBambangelf Bisa check di salah satu tweetnya @RodriChen  tentang vaksin nusantara. Industri asing? Peneliti ugm?,,,,,
"Ketahui bagaimana vaksin berfungsi dalam badan kita. 

#KomunikasiKita
#VaksinCovid19 
#JabatanPenerangan
#pmrtatau https://t.co/GU2vPQDKFv",,,,,
@fitrian Sip kalo gitu vaksin aman ya,Percaya,,,,
"Bangun pagi² niatnya mau vaksin, eh hari ini khusus lansia🙃🙃 https://t.co/GrTHCh1ame",,,,,
"Pemerintah terus mendorong pengembangan vaksin dalam negeri
https://t.co/InLIIOoFPu",Percaya,,,,
"Kepala Badan Pengawas Obat dan Makanan (BPOM) Penny Lukito menyebut, komponen utama pembuatan vaksin Nusantara diimpor dari Amerika Serikat. https://t.co/0HZ19uiFL7",,,,,
"Data studi di BPOM mencatat 20 dari 28 subjek atau 71,4 persen relawan uji klinik fase I virus Nusantara mengalami Kejadian Tidak Diinginkan. https://t.co/ABEs0aeILv",Tidak Percaya,,,,
"Perkembangan virus corona global pada Kamis (15/4/2021), termasuk laporan kasus pembekuan darah penerima vaksin J&amp;J. https://t.co/Ap8F6RWCvf",Tidak Percaya,,,,
Berebut2 mau vaksin tapi sama juga lepas vaksin masih positif covid,,,,,
Kapolres Biak Numfor Jalani Vaksin Covid-19 Tahap I - WartaPlus https://t.co/rlV1ojaaVW,,,,,
"@bharianmy Derma lah juga vaksin tu kat Thailand, Switzerland, Moscow, papua new gunea, kalimantan tengah, negara johor........",,,,,
@MrsRachelIn @DodolNabi Dengan Berbagai Alasan &amp; Pertimbangan Vaksin Rusia Sampai Saat Ini Masih Di Tolak Eropa,,,,,
"BPOM terus menegaskan menolak Vaksin Nusantara utk lolos ke uji klinis fase 2. Tapi DPR terus memberi dukungan pada vaksin ini.

Puncaknya kemarin, diklaim 40an anggota DPR dan politisi diambil sampel utk disuntik Vaksin Nusantara. https://t.co/q1eZzGeh3p",,,,,
"Penny mengklaim tahapan riset dan pengembangan Vaksin Nusantara belum memenuhi sejumlah standar yang ditetapkan BPOM.
-
VIDEO: Ini Alasan BPOM Belum Setujui Vaksin Nusantara https://t.co/FcUX4eqJdZ",Tidak Percaya,,,,
"Mantan Panglima TNI ikuti pengambilan sampel darah untuk vaksin Nusantara. 

#merahputihcom #panglimatni #sampeldarah #vaksinnusantara #vaksincovid19 
https://t.co/ULSZNOOfwO",Percaya,,,,
https://t.co/6xyDyIzSUY,,,,,
"@tempodotco Vaksin buatan dlm negeri hrs didukung. Klo dlm proses penelitian n produksinya ada yg kurang dibenahi. Asal kekurangan itu benar n tdk mengada-ada. Pengadaan vaksin covid dr LN ini bisnis besar,  importir nya mkn kenyang.",,,,,
"Rombongan Pengawal Presiden Filipina Positif COVID-19 Setelah Disuntik Vaksin Buatan Tiongkok

Nonton video selengkapnya di: https://t.co/HV1NtuIW3C

#PresidenFilipina #COVID19 #vaksin https://t.co/Q5OV5oCwzy",,,,,
@Lukman_HARP @TeddyGusnaidi https://t.co/qAbJamKAly,,,,,
"@arifbsantoso @yamiRic @yunartowijaya ada uji klinisnya, terpantau realtime di daftar development vaksin oleh WHO..

kecuali Indonesia ga mau jadi anggota WHO, ya ga apa2 pakai vaksin ilegal.",,,,,
BPOM Bongkar Kekurangan Vaksin Nusantara yang Dibela Matin-Matian DPR https://t.co/8lpd0I9cOt https://t.co/hrBvLOTpDB,,,,,
"Itu sebabnya proses vaksinasi tetap dilanjutkan selama bulan Ramadan ini.

Vaksin merupakan salah satu ikhtiar melawan penyakit berbahaya. Presiden Jokowi mengikhtiarkan agar semua terlindung dari wabah Covid-19 https://t.co/1y61tR8FLT",,,,,
2.516 Pelayan Publik di Pelalawan Termima Dosis Lengkap Vaksin Covid-19 https://t.co/wkvzPkhJt1,,,,,
@meysone Heheheheh itu ndak sakit pas sebelum vaksin?,,,,,
@SumanatawayanD https://t.co/qAbJamKAly,,,,,
Yg mau d vaksin pada semangat begini,,,,,
"Kandungan Vaksin Comirnaty dan Fungsi

#PKPB
#KitaTeguhKitaMenang
#KomunikasiKita
#PsaCOVID19RTM https://t.co/tMGa0HLJx5",,,,,
"Yuk, singkirkan ragu dan cemas.
Kepastian vaksin aman, sudah berdasarkan ijtihad para ulama.

Vaksinasi, demi kesehatan diri sendiri, dan terwujudnya kekebalan kelompok. 
Semoga kita segera terbebas dari pandemi ini. https://t.co/PWnhVD6ypr",Percaya,,,,
@NogoSosroAsli Dukung Vaksin Hitam Manis saja Mbah.😂 https://t.co/DiDfGaqSaK,,,,,
@03__nakula @KemenkesRI @BudiGSadikin @RiuRizkiUtomo_ @P3nj3l4j4h_id @RudiTobinq @Rico_1871 @mul_sareang @justbob616 @URaffa05 @JinxChaawa @riza_ajir Ini maksudnya india yg bikin vaksin atau gmn ya,,,,,
@haimzyg Nek jare yangku efek vaksin Ki gur loro. Ngantuk lan kangen.,,,,,
"Mayoritas anggota Komisi Kesehatan menjadi relawan uji klinis vaksin Nusantara, kecuali anggota dari PDI Perjuangan. Pendukung uji klinis vaksin Nunsatara meyakini keampuhan vaksin terhadap Covid-19. #korantempodigital #KoranTempo https://t.co/axSszScBkh",,,,,
"Vaksin harus lolos uji klinis, bukan lolos karena unggul voting anggota dewan.",,,,,
"Anggota Koramil 21/Palakka Kopds Samaila  melakukan pengamanan kegiatan Suntik Vaksin Sinovac untuk purnawirawan TNI AD di Aula UPT Puskesmas USA, Kecamatan Palakka, Kabupaten Bone. https://t.co/wGIyrMpW0w",,,,,
"@ezash Vaksin yg udah jelas dipake hampir seluruh dunia dibilang haram, ina inu, gak cinta produk dlm negeri, dan ina inu lainnya.",,,,,
@salehdaulay @jpnncom TOP Bang !!! Mandiri dalam segala bidang termasuk urusan vaksin..,,,,,
@PartisanPSBY wes vaksin wes gawe masker tapi jek wedi ancaman korona? terus fungsine loh uopooo. 😂,,,,,
@PRFMnews Min ini yg di vaksin kategori apa min..umum apa BUMN?,,,,,
Fraksi PDIP Tidak Ikut Vaksin Nusantara di RSPAD | Publicanews Nasional https://t.co/OUS6civWi5,Tidak Percaya,,,,
@anotherducks Km kapan vaksin aku? 😣,,,,,
"Kenali kandungan vaksin (Part 3)

#KomunikasiKita
#VaksinCovid19 
#JabatanPenerangan https://t.co/e83GmxNji6",,,,,
@burnt_faith @splintattered ( Kamu yang pagi-pagi bilang dia sudah vaksin. ),,,,,
"Amankan Pelaksanaan Vaksin, Babinsa Koramil 21/Palakka Dampingi Pensiunan TNI AD Suntik Vaksin Sinovac https://t.co/FLT4Av3PMD",,,,,
"Ya kalau uji klinis tahap 3 nya Molnupiravir berhasil, dunia nggak butuh vaksin , cukup beli obat Molnupiravir saja seperti kita membeli obat flu dan batuk biasa 

Jadi negara lain sudah bergerak ke penemuan obat buat COVID19  tidak lagi di fase membuat vaksin https://t.co/11ttX4IWTG",,,,,
Kesimpang siuran vaksin gini yang bikin orang orang penganut antivaksin semakin menjadi-jadi. Semangat saja untuk para gugus tugas.,,,,,
PDIP Partai Paling Korup :  Perancis Akan Sikapi Vaksin J&amp;J Sama Seperti AstraZeneca https://t.co/iob1NheUAu https://t.co/YGwumDQX3g,,,,,
https://t.co/2dnUbfkEd6,,,,,
https://t.co/hhJh4ADGX3,,,,,
"Pertama di Dunia, Denmark Setop Penggunaan Vaksin COVID-19 AstraZeneca

https://t.co/8AMSm6vdCK",,,,,
@Kemenag_RI Bagaimana dg persyaratan keberangkatan Calon Haji kaitan dg Vaksin Covid19,,,,,
"Teman istri yang ga mau vaksin langsung dipanggil manajemen... Kalau ga mau yaudah suruh resign aja, daripada ngerugiin sekolah dan membahayakan siswa dan rekan seprofesi... https://t.co/hs2eXDSTbV",,,,,
Fatwa MUI no 13 tahun 2021 menyebutkan bahwa mendapatkan suntik vaksin selagi berpuasa Ramadan dibolehkan dan tidak membatalkan puasa. https://t.co/PKzkfhizA2,,,,,
"@KompasTV @BossTemlen Yg bisa menjamin vaksin Nusantara ya bangsa sendiri.....kyk gini kok msh bertanya!!!, emang loe bangsa apa bukankah hidup di nusantara",Tidak Percaya,,,,
@flhemmingsgo Yeyy dh vaksin,,,,,
@iaridlo Baru tau Surabaya baru mulai. Ibuku guru di Gresik udah sebulan lalu selesai vaksin kedua. Kirain Sby duluan krn ibukota provinsi.,,,,,
@fitrian jadi gak bikin puasa kita batal ya walaupun vaksin di bulan Ramadan,,,,,
"@DearestReality Hahahahaha isu vaksin yang lagi hangat, kak",,,,,
"Epidemiolog dari Griffith University, Dicky Budiman, menilai penamaan Vaksin Nusantara mengandung tendensi yang tidak pas. #TempoNasional https://t.co/4R9vMjwQOt",,,,,
Kenapa vaksin ni lenguh dia lain macam 😔,,,,,
aku suda vaksin apakah kelen sudaaaa?,Percaya,,,,
"puasa kalo suntik vaksin, puasanya lanjut apa batal yaa",,,,,
"Kasus Vaksin J&amp;J, Pelonggaran lockdown Swiss, dan optimisme Jepang https://t.co/bywrL0o2Jh",,,,,
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin – Kumparan- https://t.co/hLF3jHvzPk https://t.co/FIUVnQmcmy,Tidak Percaya,,,,
"BPOM: 71,4 Persen Relawan Uji Vaksin Nusantara Alami Kejadian Tak Diinginkan https://t.co/KDbC0pRoG5",Tidak Percaya,,,,
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin – Kumparan https://t.co/ELSjKhltgn,Tidak Percaya,,,,
"Berdasar fatwa MU dan Ijtihad para ulama vaksin ini aman dan bisa disuntikkan kepada masyarakat yang sedang berpuasa. 

Karena tidak membatalkan puasa. Yuk vaksinasi https://t.co/MHOcRhbZzc",Percaya,,,,
Sultan semua dah ambik vaksin belum?,,,,,
"@yunartowijaya Emang ada vaksin yang sudah di ujicoba secara klinis?
Atau kita lah kelinci percobaannya?",Tidak Percaya,,,,
Sosone malah entuk jadwal vaksin mendadak dan tabrakan jadwale sm bimbingan https://t.co/kzu1F3QHqu,,,,,
@94afii iya setekah tau fatwa MUI kalau vaksin gak bikin batal puasa jadinya gak was-was ya,,,,,
"BPOM menemukan lima kesalahan aspek pemenuhan good manufacturing practice (GMP) uji klinik fase 1 vaksin nusantara. Pertama, produk vaksin dendritik tidak dibuat dalam kondisi yang steril. https://t.co/KkIe4wGI9S",,,,,
@nuexzynl Mengikut pemerhatian aku sekarang ni ramai yang anti vaksin Covid sahaja. Padahal selama ni okay je dengan vaksin apa semua. Mungkin terpengaruh dengan propaganda di media sosial dan grup whatsapp.,,,,,
"Presiden Jokowi juga sudah memerintahkan agar volume vaksin ditambah lagi dan waktu pemberian vaksin dipersingkat, agar target herd immunity di Indonesia bisa tercapai dalam satu tahun. Aamiin",,,,,
"Mulai hari ini serentak Guru di Kota Surabaya mendapatkan dosis pertama Vaksinasi. Informasi yg sqya dapat Vaksin yang digunakan y AstraZeneca. Bismillah, di bulan Ramadhan dan saat puasa semoga menjadi amal sholeh untuk menjaga diri, keluarga dan lingkungan dari Covid-19. https://t.co/jOmOq4A4vI",,,,,
"Ketahui bagaimana vaksin berfungsi dalam badan kita. 

Sumber: @JPenerangan 

#KoolFM 
#KomunikasiKita
#VaksinCovid19 
#JabatanPenerangan https://t.co/Ss9PkejCuy",,,,,
@risw_okob Vaksin merah putih,,,,,
Hari ini jadwal vaksin tp takut gagal karna tensi darah :) agak pusing soale,,,,,
"Ya gak apa2. Doakan saja semoga berhasil dan bisa menyelamatkan banyak orang seperti pengobatan di RSPAD itu. Banyak orang diselamatkan walaupun IDI keberatan.
 https://t.co/GjqYMH0Gj9?",,,,,
"Dalam Fikih syafi'iyah juga dijelaskan jika Vaksin Aman saat berpuasa. Tidak membatalkan puasa atau merusak puasa kita.

Yang dapat giliran jangan ragu lagi yaa untuk vaksinasi https://t.co/dfFSx2oFrk",Percaya,,,,
"Program Imunisasi Covid-19 Kebangsaan
Atlet Badminton Negara, Lee Zii Jia selesai menjalani Vaksin dose pertama selepas sembuh dari demam 

#KontinjenMALAYSIA
#DemiMALAYSIA https://t.co/XbwA18HdSP",,,,,
"@Jegidek Hello, you can read it here: Sudi Nusantara 13 April 2021 Oleh : Dahlan Iskan VAKSIN Nusantara… https://t.co/KbC8uGNjgg Enjoy :) 🤖",,,,,
"@CNNIndonesia Coba ikuti prosedur spt riset vaksin Merah Putih...jangan sering potong kompas spt Mobnas Timor, minta fasilitas ini-itu, negara  rugi puluhan triliun rupiah...",,,,,
